file,exact_acc,near_acc,wrong_limb,limb_acc,avr,flip,qap_energy
Ch01_nonPBR.glb,88.23529411764706,100.0,0.0,100.0,0.0,False,-39.62043606225696
Ch07_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-39.634716541186364
Ch08_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-38.97324482582445
Ch09_nonPBR.glb,76.47058823529412,100.0,0.0,100.0,0.0,False,-38.16667423228802
Ch14_nonPBR.glb,82.35294117647058,100.0,0.0,100.0,0.0,False,-36.45984439965662
Ch17_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-38.361906820862686
Ch19_nonPBR.glb,58.82352941176471,64.70588235294117,23.52941176470588,60.0,0.0,False,-37.29356243230048
Ch25_nonPBR.glb,58.82352941176471,64.70588235294117,23.52941176470588,60.0,0.0,False,-39.23762750802395
Ch32_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-38.45428614663827
Ch36_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-39.5963368126899
Ch42_nonPBR.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-38.70229811078467
Ch43_nonPBR.glb,82.35294117647058,100.0,0.0,100.0,0.0,False,-36.72276187447929
Dozy.glb,58.82352941176471,64.70588235294117,23.52941176470588,60.0,0.0,False,-37.29356243230048
Exo Gray.glb,94.11764705882352,100.0,0.0,100.0,0.0,False,-40.60806027753247
Remy.glb,23.52941176470588,29.411764705882355,52.94117647058824,20.0,0.0,True,-41.117489370398474
Whiteclown N Hallin.glb,88.23529411764706,100.0,0.0,100.0,0.0,False,-38.880818825344974
merged-model.glb,58.82352941176471,64.70588235294117,23.52941176470588,60.0,0.0,False,-40.1532635708791
