run,seed,exact_acc,limb_acc,qap_energy,flip
0,0,58.82352941176471,60.0,-39.62043606225696,False
1,1,88.23529411764706,100.0,-39.62043606225696,False
2,2,88.23529411764706,100.0,-39.62043606225696,False
3,3,88.23529411764706,100.0,-39.62043606225696,False
4,4,88.23529411764706,100.0,-39.62043606225696,False
5,5,88.23529411764706,100.0,-39.62043606225696,False
6,6,88.23529411764706,100.0,-39.62043606225696,False
7,7,58.82352941176471,60.0,-39.62043606225696,False
8,8,88.23529411764706,100.0,-39.62043606225696,False
9,9,88.23529411764706,100.0,-39.62043606225696,False
10,10,58.82352941176471,60.0,-39.62043606225696,False
11,11,88.23529411764706,100.0,-39.62043606225696,False
12,12,58.82352941176471,60.0,-39.62043606225696,False
13,13,58.82352941176471,60.0,-39.62043606225696,False
14,14,88.23529411764706,100.0,-39.62043606225696,False
15,15,88.23529411764706,100.0,-39.62043606225696,False
16,16,88.23529411764706,100.0,-39.62043606225696,False
17,17,88.23529411764706,100.0,-39.62043606225696,False
18,18,88.23529411764706,100.0,-39.62043606225696,False
19,19,58.82352941176471,60.0,-39.62043606225696,False
